t,I,D,S,R
0.0,4197,42,5995513,248
1.0,4253,86,5995233,428
2.0,4298,134,5994955,613
3.0,4353,181,5994660,806
4.0,4427,217,5994368,988
5.0,4550,238,5994068,1144
6.0,4623,280,5993772,1325
7.0,4734,300,5993479,1487
8.0,4850,323,5993188,1639
9.0,4906,354,5992907,1833
10.0,4984,373,5992643,2000
11.0,5069,395,5992387,2149
12.0,5127,425,5992143,2305
13.0,5177,452,5991905,2466
14.0,5252,478,5991703,2567
15.0,5309,504,5991508,2679
16.0,5378,531,5991319,2772
17.0,5441,559,5991133,2867
18.0,5505,578,5990949,2968
19.0,5566,605,5990768,3061
20.0,5635,633,5990589,3143
21.0,5722,642,5990414,3222
22.0,5809,652,5990242,3297
23.0,5873,675,5990074,3378
24.0,5940,698,5989909,3453
25.0,5987,720,5989747,3546
26.0,6048,740,5989588,3624
27.0,6104,749,5989427,3720
28.0,6177,753,5989264,3806
29.0,6256,759,5989104,3881
30.0,6307,781,5988946,3966
31.0,6408,799,5988790,4003
32.0,6467,815,5988631,4087
33.0,6513,833,5988474,4180
34.0,6575,843,5988319,4263
35.0,6699,846,5988159,4296
36.0,6804,853,5988002,4341
37.0,6863,873,5987845,4419
38.0,6919,885,5987684,4512
39.0,6968,900,5987524,4608
40.0,7033,922,5987365,4680
41.0,7099,942,5987203,4756
42.0,7199,952,5987040,4809
43.0,7287,954,5986881,4878
44.0,7342,973,5986724,4961
45.0,7401,990,5986562,5047
46.0,7463,1005,5986402,5130
47.0,7537,1011,5986221,5231
48.0,7592,1029,5986038,5341
49.0,7699,1039,5985858,5404
50.0,7816,1039,5985676,5469
51.0,7891,1054,5985497,5558
52.0,7979,1072,5985316,5633
53.0,8081,1089,5985132,5698
54.0,8173,1098,5984945,5784
55.0,8252,1113,5984756,5879
56.0,8365,1118,5984570,5947
57.0,8457,1118,5984382,6043
58.0,8537,1137,5984197,6129
59.0,8599,1158,5984008,6235
60.0,8656,1180,5983817,6347
61.0,8728,1200,5983624,6448
62.0,8808,1219,5983429,6544
63.0,8915,1229,5983237,6619
64.0,9046,1229,5983041,6684
65.0,9113,1249,5982831,6807
66.0,9198,1271,5982613,6918
67.0,9285,1287,5982398,7030
68.0,9379,1304,5982182,7135
69.0,9454,1327,5981979,7240
70.0,9536,1347,5981773,7344
71.0,9635,1347,5981574,7444
72.0,9711,1373,5981368,7548
73.0,9788,1398,5981161,7653
74.0,9868,1422,5980950,7760
75.0,9951,1441,5980744,7864
76.0,10038,1459,5980532,7971
77.0,10129,1474,5980318,8079
78.0,10233,1474,5980109,8184
79.0,10313,1499,5979898,8290
80.0,10401,1514,5979690,8395
81.0,10484,1536,5979475,8505
82.0,10479,1555,5979251,8715
83.0,10568,1582,5979019,8831
84.0,10672,1591,5978792,8945
85.0,10790,1591,5978555,9064
86.0,10885,1621,5978304,9190
87.0,10997,1647,5978028,9328
88.0,11117,1669,5977743,9471
89.0,11236,1701,5977441,9622
90.0,11385,1731,5977083,9801
91.0,11556,1756,5976691,9997
92.0,11745,1770,5976284,10201
93.0,11916,1804,5975873,10407
94.0,12114,1834,5975417,10635
95.0,12319,1859,5974956,10866
96.0,12531,1881,5974487,11101
97.0,12745,1917,5973986,11352
98.0,12988,1938,5973458,11616
99.0,13257,1938,5972920,11885
100.0,13502,1972,5972363,12163
101.0,13774,2002,5971761,12463
102.0,14047,2048,5971123,12782
103.0,14347,2073,5970476,13104
104.0,14645,2104,5969817,13434
105.0,14967,2119,5969143,13771
106.0,15313,2119,5968457,14111
107.0,15622,2157,5967762,14459
108.0,15914,2206,5967078,14802
109.0,16238,2230,5966381,15151
110.0,16561,2262,5965671,15506
111.0,16836,2299,5964958,15907
112.0,17133,2324,5964249,16294
113.0,17458,2324,5963534,16684
114.0,17729,2371,5962813,17087
115.0,17984,2428,5962086,17502
116.0,18284,2462,5961328,17926
117.0,18632,2498,5960527,18343
118.0,19003,2540,5959673,18784
119.0,19413,2569,5958777,19241
120.0,19886,2570,5957854,19690
121.0,20287,2629,5956910,20174
122.0,20725,2695,5955879,20701
123.0,21269,2721,5954786,21224
124.0,21823,2775,5953615,21787
125.0,22377,2828,5952357,22438
126.0,23072,2859,5951026,23043
127.0,23744,2878,5949623,23755
128.0,24416,2940,5948138,24506
129.0,25136,3014,5946564,25286
130.0,25896,3082,5944897,26125
131.0,26679,3143,5943141,27037
132.0,27524,3207,5941289,27980
133.0,28490,3248,5939345,28917
134.0,29459,3248,5937306,29987
135.0,30422,3317,5935176,31085
136.0,31398,3388,5932961,32253
137.0,32437,3460,5930649,33454
138.0,33539,3523,5928255,34683
139.0,34670,3593,5925779,35958
140.0,35946,3650,5923111,37293
141.0,37403,3670,5920185,38742
142.0,38874,3750,5917006,40370
143.0,40441,3835,5913585,42139
144.0,42169,3914,5909916,44001
145.0,43895,3977,5906229,45899
146.0,45529,4047,5902534,47890
147.0,47333,4109,5898833,49725
148.0,49174,4129,5895142,51555
149.0,50896,4214,5891445,53445
150.0,52625,4296,5887761,55318
151.0,53308,4365,5884069,58258
152.0,54508,4422,5880375,60695
153.0,55059,4480,5876649,63812
154.0,56862,4527,5872896,65715
155.0,59875,4558,5869155,66412
156.0,61712,4644,5865421,68223
157.0,63469,4727,5861660,70144
158.0,65246,4806,5857886,72062
159.0,66576,4875,5854107,74442
160.0,67904,4954,5850331,76811
161.0,69454,5021,5846563,78962
162.0,71258,5085,5842792,80865
163.0,73065,5157,5839027,82751
164.0,73586,5226,5835269,85919
165.0,74204,5305,5831506,88985
166.0,74827,5389,5827749,92035
167.0,75481,5464,5823995,95060
168.0,76841,5537,5820236,97386
169.0,78646,5614,5816484,99256
170.0,80425,5696,5812724,101155
171.0,81482,5771,5808975,103772
172.0,82513,5843,5805219,106425
173.0,83154,5919,5801468,109459
174.0,82921,6001,5797713,113365
175.0,83480,6075,5793952,116493
176.0,84905,6150,5790204,118741
177.0,86474,6229,5786447,120850
178.0,85882,6307,5782683,125128
179.0,85983,6391,5778925,128701
180.0,86596,6466,5775179,131759
181.0,89317,6542,5771437,132704
182.0,92069,6622,5767699,133610
183.0,94021,6701,5764042,135236
184.0,95868,6774,5760393,136965
185.0,97363,6832,5757052,138753
186.0,98463,6901,5754047,140589
187.0,99669,6956,5751030,142345
188.0,100965,7025,5748024,143986
189.0,101241,7075,5745014,146670
190.0,102330,7117,5742010,148543
191.0,103735,7185,5739279,149801
192.0,103235,7263,5736276,153226
193.0,102642,7346,5733235,156777
194.0,101749,7418,5730141,160692
195.0,101310,7485,5726888,164317
196.0,101495,7544,5723572,167389
197.0,103559,7599,5720285,168557
198.0,104512,7668,5717004,170816
199.0,104932,7740,5713657,173671
200.0,103771,7819,5710545,177865
201.0,102120,7878,5707441,182561
202.0,100898,7951,5704385,186766
203.0,101506,8012,5701456,189026
204.0,102664,8071,5699340,189925
205.0,101694,8129,5697830,192347
206.0,97642,8199,5696017,198142
207.0,95577,8268,5693889,202266
208.0,94182,8319,5691605,205894
209.0,93221,8383,5689093,209303
210.0,93897,8430,5686933,210740
211.0,94413,8483,5685091,212013
212.0,93908,8548,5683607,213937
213.0,92142,8603,5681691,217564
214.0,90507,8656,5680120,220717
215.0,88920,8694,5678657,223729
216.0,87651,8739,5677409,226201
217.0,86448,8778,5676234,228540
218.0,86868,8819,5674683,229630
219.0,84146,8880,5673605,233369
220.0,81672,8934,5672436,236958
221.0,79405,8995,5671309,240291
222.0,77035,9053,5670175,243737
223.0,75435,9105,5669045,246415
224.0,74934,9160,5667946,247960
225.0,74481,9209,5666853,249457
226.0,72584,9257,5665771,252388
227.0,70768,9294,5664668,255270
228.0,68586,9336,5663574,258504
229.0,65950,9383,5662487,262180
230.0,64294,9435,5661395,264876
231.0,62891,9484,5660399,267226
232.0,62783,9531,5659442,268244
233.0,61932,9572,5658529,269967
234.0,61314,9609,5657620,271457
235.0,59876,9657,5656709,273758
236.0,59116,9697,5655762,275425
237.0,57490,9736,5654811,277963
238.0,57163,9774,5653872,279191
239.0,56751,9809,5652929,280511
240.0,54980,9858,5651992,283170
241.0,53268,9897,5651030,285805
242.0,51597,9945,5650044,288414
243.0,49963,9971,5649061,291005
244.0,48149,10010,5648086,293755
245.0,47678,10047,5647118,295157
246.0,47180,10090,5646162,296568
247.0,46707,10132,5645221,297940
248.0,44865,10184,5644262,300689
249.0,42981,10224,5643301,303494
250.0,41031,10270,5642344,306355
251.0,39602,10316,5641401,308681
252.0,39661,10353,5640464,309522
253.0,39865,10398,5639531,310206
254.0,39565,10440,5638615,311380
255.0,39465,10470,5637688,312377
256.0,38309,10503,5636770,314418
257.0,37165,10541,5635849,316445
258.0,36955,10577,5634950,317518
259.0,37508,10614,5634069,317809
260.0,38093,10649,5633204,318054
261.0,37500,10691,5632392,319417
262.0,37567,10726,5631585,320122
263.0,37061,10763,5630781,321395
264.0,36192,10799,5629999,323010
265.0,35717,10831,5629250,324202
266.0,35605,10864,5628549,324982
267.0,35559,10894,5627852,325695
268.0,35181,10930,5627133,326756
269.0,34881,10967,5626418,327734
270.0,34459,10998,5625708,328835
271.0,34101,11027,5625000,329872
272.0,33763,11063,5624283,330891
273.0,33491,11091,5623572,331846
274.0,33355,11118,5622865,332662
275.0,32684,11149,5622163,334004
276.0,32414,11185,5621458,334943
277.0,32138,11218,5620763,335881
278.0,31882,11248,5620060,336810
279.0,31597,11279,5619361,337763
280.0,32204,11298,5618667,337831
281.0,32624,11332,5617961,338083
282.0,32101,11362,5617260,339277
283.0,31808,11390,5616548,340254
284.0,31044,11417,5615829,341710
285.0,31299,11447,5615125,342129
286.0,31222,11479,5614424,342875
287.0,31725,11508,5613729,343038
288.0,32059,11534,5613037,343370
289.0,31098,11569,5612350,344983
290.0,30586,11603,5611657,346154
291.0,30327,11638,5610975,347060
292.0,29983,11675,5610281,348061
293.0,29621,11714,5609592,349073
294.0,29321,11742,5608891,350046
295.0,29156,11779,5608185,350880
296.0,28858,11817,5607473,351852
297.0,28460,11851,5606750,352939
298.0,28109,11878,5606034,353979
299.0,27790,11911,5605309,354990
300.0,27515,11945,5604572,355968
301.0,27215,11981,5603854,356950
302.0,27130,12015,5603150,357705
303.0,27004,12049,5602441,358506
304.0,26809,12082,5601730,359379
305.0,26608,12117,5601015,360260
306.0,26428,12148,5600293,361131
307.0,26259,12182,5599567,361992
308.0,26130,12219,5598838,362813
309.0,26092,12249,5598114,363545
310.0,25965,12284,5597397,364354
311.0,25727,12323,5596663,365287
312.0,25395,12354,5595922,366329
313.0,24935,12389,5595183,367493
314.0,23974,12423,5594434,369169
315.0,23636,12459,5593667,370238
316.0,23694,12498,5592904,370904
317.0,23391,12541,5592132,371936
318.0,22711,12578,5591348,373363
319.0,21961,12618,5590557,374864
320.0,21467,12661,5589742,376130
321.0,20938,12696,5588909,377457
322.0,21326,12736,5588067,377871
323.0,22023,12774,5587216,377987
324.0,21555,12820,5586372,379253
325.0,21194,12859,5585533,380414
326.0,20608,12890,5584697,381805
327.0,20243,12923,5583857,382977
328.0,19800,12964,5583011,384225
329.0,20092,13003,5582182,384723
330.0,20061,13043,5581360,385536
331.0,19591,13081,5580543,386785
332.0,19383,13117,5579715,387785
333.0,18946,13156,5578874,389024
334.0,18691,13193,5578040,390076
335.0,18404,13234,5577183,391179
336.0,18325,13277,5576322,392076
337.0,18250,13317,5575468,392965
338.0,17802,13366,5574622,394210
339.0,16975,13414,5573770,395841
340.0,16405,13457,5572911,397227
341.0,16139,13502,5572048,398311
342.0,15754,13547,5571181,399518
343.0,15476,13595,5570319,400610
344.0,15334,13643,5569454,401569
345.0,15270,13696,5568552,402482
346.0,14697,13759,5567625,403919
347.0,13825,13820,5566679,405676
348.0,13261,13899,5565709,407131
349.0,12812,13965,5564713,408510
350.0,13319,14038,5563694,408949
351.0,13860,14118,5562648,409374
352.0,12971,14200,5561583,411246
353.0,12120,14293,5560491,413096
354.0,11195,14392,5559348,415065
355.0,10394,14490,5558154,416962
356.0,9201,14597,5556907,419295
357.0,9042,14703,5555609,420646
358.0,8963,14813,5554274,421950
359.0,7935,14932,5552900,424233
360.0,7347,15043,5551397,426213
361.0,6877,15158,5549785,428180
362.0,5662,15259,5548114,430965
363.0,4695,15369,5546381,433555
364.0,5224,15473,5544597,434706
365.0,6209,15573,5542769,435449
366.0,5432,15672,5540900,437996
367.0,4286,15779,5538994,440941
368.0,2735,15880,5537057,444328
